# devkit: fuente de la sección Stack del README (herramienta y descripción,
# generada por gen-readme.sh vía gen-stack.sh --tabla). La versión no vive
# aquí: gen-stack.sh la calcula desde devkit/Dockerfile y devkit/proxy/Dockerfile
# (ver version_de en gen-stack.sh). Formato: id | Herramienta | Descripción.
# Un id sin versión fijada (docker, python, claude, codex, git, notion,
# terminal) muestra `—` en la tabla; agregar uno nuevo exige sumarlo también
# al `case` de version_de, o gen-stack.sh sale con error.

docker | Docker + Compose | Única dependencia del host. Dos contenedores por proyecto: `dev` (trabajo, sin salida directa) y `proxy` (única salida, con lista blanca).
debian | Debian | Imagen base sin lenguaje. Usuario `dev` sin `sudo`.
tinyproxy | tinyproxy | Proxy de salida con lista blanca de dominios (`allowlist.base` más `domains` de `.devkit/devkit.toml`).
uv | uv | Instala la versión de Python de `.devkit/devkit.toml` y gestiona dependencias y entornos.
python | Python | Lenguaje de los proyectos de datos. No viene en la imagen: cada proyecto fija su versión.
openvscode | openvscode-server | Único editor del devkit: `devkit code <proyecto>` abre la URL con token.
zsh | zsh + starship | Shell y prompt de una sola línea: proyecto, rama, cambios, agentes vivos y alarmas.
claude | Claude Code | Agente principal. Lee `AGENTS.md`, ejecuta las skills, abre PRs y actualiza Notion.
codex | Codex | Segundo agente, preparado pero no instalado: mismo `AGENTS.md` y skills.
github | GitHub + gh | Código, PRs y la compuerta humana: `main` exige PR con una aprobación; auto-merge activado.
git | Git | Una rama por card, Conventional Commits con la Clave como ámbito.
notion | Notion | Centro de tareas: bases Proyectos, Tareas y Documentación.
bws | Bitwarden Secrets Manager | Único lugar de los secretos del proyecto.
rclone | rclone + Dropbox | Respaldo continuo de `sandbox.local/`, cada minuto.
terminal | Terminal del host | cualquier terminal con bash; ahí corre el comando `devkit`.
